Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,pH
20.45,51.49,61.79,Clayey,Maize,10,29,12,MAP 28:28:0,6.34
39.75,71.59,37.32,Clayey,Maize,19,13,13,NPK Complex 14:35:14,7.11
19.3,50.83,21.93,Loamy,Oil seeds,10,15,5,DAP (18:46:0),6.72
31.98,60.39,37.49,Red,Barley,13,6,19,Kribhco NPK 20:20:0,6.89
22.98,80.03,25.52,Red,Millets,15,14,5,DAP (18:46:0),6.1
25.56,77.38,66.28,Clayey,Tobacco,11,22,20,Urea (46% N),6.14
28.44,54.71,27.77,Loamy,Maize,9,11,24,Kribhco NPK 20:20:0,5.87
24.37,83.38,52.5,Loamy,Ground Nuts,9,4,15,NPK Complex 14:35:14,7.38
30.67,57.66,53.97,Red,Barley,11,19,26,Urea (46% N),7.04
37.19,40.24,65.21,Loamy,Barley,18,9,8,Tata Paras NPK 10:26:26,5.52
17.3,44.8,29.7,Loamy,Cotton,12,11,8,Iffco NPK 17:17:17,5.93
33.23,50.05,26.4,Red,Cotton,7,9,21,Kribhco NPK 20:20:0,7.23
25.11,84.38,50.26,Red,Tobacco,10,27,20,Urea (46% N),6.55
17.57,76.93,64.35,Loamy,Cotton,3,19,15,Urea (46% N),7.35
28.93,43.55,27.4,Red,Ground Nuts,9,12,14,MAP 28:28:0,6.2
24.58,79.63,64.5,Black,Ground Nuts,7,3,10,NPK Complex 14:35:14,5.99
33.55,63.16,44.8,Black,Cotton,6,21,5,MAP 28:28:0,5.73
18.53,42.45,56.33,Loamy,Sugarcane,13,21,17,MAP 28:28:0,6.26
30.16,76.61,45.86,Sandy,Tobacco,20,18,4,DAP (18:46:0),5.51
15.08,52.96,35.21,Loamy,Pulses,3,2,28,Kribhco NPK 20:20:0,7.38
24.64,79.51,69.52,Clayey,Sugarcane,15,18,4,DAP (18:46:0),6.55
24.85,86.02,31.27,Clayey,Wheat,28,20,8,DAP (18:46:0),6.67
16.62,58.08,59.5,Red,Tobacco,25,9,6,Tata Paras NPK 10:26:26,6.16
33.01,74.29,34.42,Clayey,Ground Nuts,7,5,26,Kribhco NPK 20:20:0,6.61
26.16,63.3,46.3,Black,Pulses,4,4,13,Iffco NPK 17:17:17,6.69
28.97,77.56,36.58,Clayey,Oil seeds,3,7,18,Kribhco NPK 20:20:0,5.82
20.32,85.42,64.5,Sandy,Barley,6,15,26,Urea (46% N),6.86
30.21,74.45,29.5,Loamy,Cotton,7,4,17,Kribhco NPK 20:20:0,7.0
38.3,49.88,32.84,Clayey,Cotton,13,13,14,Iffco NPK 17:17:17,7.22
25.28,64.78,53.19,Sandy,Wheat,41,7,7,Tata Paras NPK 10:26:26,7.41
33.68,65.08,40.42,Clayey,Ground Nuts,5,7,28,Kribhco NPK 20:20:0,6.77
29.12,81.05,56.06,Sandy,Wheat,30,21,6,DAP (18:46:0),6.55
16.95,77.56,34.39,Sandy,Wheat,15,13,8,Iffco NPK 17:17:17,6.66
17.31,88.58,26.09,Sandy,Paddy,17,11,11,Iffco NPK 17:17:17,6.82
38.41,89.88,56.72,Red,Tobacco,13,16,12,Iffco NPK 17:17:17,6.96
27.55,45.81,25.63,Sandy,Sugarcane,13,8,11,Iffco NPK 17:17:17,5.92
26.57,70.47,52.52,Sandy,Millets,6,15,9,MAP 28:28:0,6.8
24.44,83.58,69.43,Clayey,Ground Nuts,7,8,12,NPK Complex 14:35:14,7.44
19.9,83.58,27.66,Clayey,Ground Nuts,15,1,4,Tata Paras NPK 10:26:26,5.97
38.37,76.32,46.38,Red,Millets,14,13,6,DAP (18:46:0),5.91
33.01,50.63,39.24,Sandy,Oil seeds,11,16,6,DAP (18:46:0),7.44
33.18,82.73,40.0,Clayey,Paddy,12,16,18,Urea (46% N),6.84
29.98,45.85,21.07,Red,Pulses,7,5,11,NPK Complex 14:35:14,6.56
19.22,88.55,41.91,Black,Paddy,38,7,9,Tata Paras NPK 10:26:26,6.43
20.46,61.7,46.47,Black,Ground Nuts,10,9,14,Iffco NPK 17:17:17,5.71
37.42,86.4,55.65,Black,Tobacco,14,9,8,NPK Complex 14:35:14,5.93
37.87,83.88,34.48,Black,Tobacco,33,1,2,Tata Paras NPK 10:26:26,6.14
36.28,69.3,53.45,Black,Wheat,41,4,2,Tata Paras NPK 10:26:26,5.91
22.51,58.03,53.43,Black,Oil seeds,5,6,10,Iffco NPK 17:17:17,6.55
27.23,84.2,61.25,Loamy,Paddy,32,8,2,Tata Paras NPK 10:26:26,5.88
31.02,57.85,55.25,Black,Oil seeds,9,15,6,DAP (18:46:0),6.08
24.53,45.63,32.57,Clayey,Pulses,3,5,15,Iffco NPK 17:17:17,7.47
33.98,44.6,36.64,Black,Maize,14,24,15,MAP 28:28:0,5.82
31.45,59.25,20.16,Sandy,Cotton,2,18,18,Urea (46% N),6.85
19.24,79.83,33.04,Red,Ground Nuts,4,13,25,Urea (46% N),5.81
36.37,87.54,36.71,Sandy,Pulses,9,3,12,Tata Paras NPK 10:26:26,5.77
18.3,75.35,45.14,Black,Cotton,9,20,11,MAP 28:28:0,6.43
33.67,53.12,66.84,Red,Maize,12,23,22,Urea (46% N),5.98
37.3,88.15,60.42,Red,Millets,14,16,2,DAP (18:46:0),6.09
16.06,70.21,59.06,Red,Cotton,9,19,7,MAP 28:28:0,5.78
17.42,40.91,47.23,Sandy,Sugarcane,19,18,9,DAP (18:46:0),6.33
28.76,41.54,24.67,Black,Millets,10,5,13,Iffco NPK 17:17:17,5.94
35.91,77.19,66.7,Clayey,Cotton,14,5,3,Tata Paras NPK 10:26:26,6.02
22.87,88.28,42.83,Red,Barley,14,8,16,Iffco NPK 17:17:17,7.17
25.93,85.19,66.36,Black,Pulses,6,7,9,MAP 28:28:0,7.4
16.15,85.16,35.76,Clayey,Sugarcane,23,2,2,Tata Paras NPK 10:26:26,7.17
29.02,83.92,47.19,Loamy,Oil seeds,9,12,6,DAP (18:46:0),6.07
17.99,58.25,67.92,Clayey,Millets,5,14,15,Urea (46% N),7.49
25.43,74.04,64.16,Loamy,Wheat,19,18,9,MAP 28:28:0,7.15
31.87,45.78,64.78,Clayey,Oil seeds,3,15,23,Urea (46% N),5.82
24.73,56.53,40.4,Clayey,Pulses,5,7,9,MAP 28:28:0,5.95
20.07,53.51,29.38,Black,Millets,18,1,2,Tata Paras NPK 10:26:26,5.88
22.17,65.75,66.9,Black,Paddy,31,4,6,Tata Paras NPK 10:26:26,6.5
26.51,43.54,28.87,Loamy,Wheat,29,20,2,DAP (18:46:0),5.78
15.33,88.66,55.44,Clayey,Pulses,6,10,17,MAP 28:28:0,6.33
33.22,70.1,66.44,Red,Pulses,4,2,28,Kribhco NPK 20:20:0,6.46
21.0,79.83,56.12,Black,Maize,7,8,20,Kribhco NPK 20:20:0,5.65
35.72,51.81,34.82,Clayey,Oil seeds,3,14,23,Urea (46% N),6.1
34.17,48.99,67.87,Clayey,Oil seeds,14,3,2,Tata Paras NPK 10:26:26,5.51
33.25,62.07,59.69,Loamy,Pulses,6,3,16,Iffco NPK 17:17:17,6.77
16.97,88.82,50.13,Red,Pulses,5,3,33,Kribhco NPK 20:20:0,5.53
26.24,74.29,40.57,Black,Tobacco,14,10,13,Iffco NPK 17:17:17,6.87
23.1,81.2,37.17,Red,Barley,12,18,9,DAP (18:46:0),6.74
36.34,60.41,44.23,Loamy,Tobacco,13,18,7,MAP 28:28:0,6.97
36.59,41.1,41.7,Red,Millets,4,13,17,Urea (46% N),6.86
21.0,50.0,43.71,Loamy,Barley,16,20,6,DAP (18:46:0),5.6
28.32,67.58,30.07,Clayey,Wheat,26,11,12,Iffco NPK 17:17:17,5.93
27.69,87.03,41.4,Black,Barley,8,20,23,Urea (46% N),5.53
25.45,59.33,68.21,Loamy,Paddy,20,17,8,DAP (18:46:0),5.73
17.79,56.85,49.52,Loamy,Pulses,6,5,4,NPK Complex 14:35:14,6.56
20.7,49.15,63.69,Clayey,Wheat,29,17,8,DAP (18:46:0),7.15
22.2,79.92,64.78,Red,Barley,15,6,15,Iffco NPK 17:17:17,6.2
18.07,50.04,60.48,Sandy,Barley,13,22,2,DAP (18:46:0),5.99
15.96,77.15,21.7,Sandy,Paddy,18,10,12,Iffco NPK 17:17:17,6.71
32.45,57.47,66.47,Red,Pulses,5,5,11,Iffco NPK 17:17:17,7.21
27.99,88.57,61.31,Red,Sugarcane,9,8,26,Kribhco NPK 20:20:0,5.73
31.68,65.7,39.9,Red,Wheat,25,22,4,DAP (18:46:0),6.15
21.94,66.73,63.05,Loamy,Cotton,10,15,10,MAP 28:28:0,6.98
17.64,49.89,34.14,Loamy,Paddy,14,15,18,Urea (46% N),6.49
31.91,57.12,66.7,Black,Paddy,13,21,8,MAP 28:28:0,5.83
33.74,66.48,26.13,Loamy,Maize,28,9,7,Tata Paras NPK 10:26:26,6.0
32.06,77.17,33.36,Red,Tobacco,10,17,15,MAP 28:28:0,5.65
27.66,63.04,32.56,Loamy,Tobacco,25,10,11,Tata Paras NPK 10:26:26,5.92
24.03,44.36,59.62,Red,Ground Nuts,14,3,8,Tata Paras NPK 10:26:26,6.39
31.5,76.24,49.97,Clayey,Wheat,12,16,15,Urea (46% N),7.41
34.96,63.17,40.25,Loamy,Ground Nuts,6,4,7,NPK Complex 14:35:14,6.88
23.6,58.7,43.29,Sandy,Tobacco,12,11,9,Iffco NPK 17:17:17,6.37
21.06,74.63,50.7,Loamy,Pulses,4,4,19,Iffco NPK 17:17:17,6.34
17.13,81.04,29.47,Clayey,Wheat,21,7,20,Kribhco NPK 20:20:0,6.05
39.83,69.23,26.35,Black,Oil seeds,7,11,18,Urea (46% N),7.29
22.99,54.7,47.17,Black,Sugarcane,6,16,33,Urea (46% N),6.5
25.33,82.98,67.46,Sandy,Oil seeds,5,9,11,Iffco NPK 17:17:17,5.65
28.52,40.5,33.28,Black,Ground Nuts,12,5,12,Tata Paras NPK 10:26:26,7.28
34.83,77.85,69.91,Red,Ground Nuts,4,15,26,Urea (46% N),6.46
35.83,41.37,26.92,Sandy,Tobacco,12,19,23,Urea (46% N),7.1
33.61,46.72,42.32,Clayey,Tobacco,18,22,8,DAP (18:46:0),6.17
25.89,87.2,31.39,Black,Sugarcane,8,16,25,Urea (46% N),6.85
18.79,68.77,34.93,Black,Ground Nuts,9,8,17,Iffco NPK 17:17:17,6.91
18.23,67.95,29.31,Clayey,Maize,16,13,13,Iffco NPK 17:17:17,5.62
23.31,73.79,47.61,Black,Paddy,20,16,11,MAP 28:28:0,6.27
36.38,70.36,28.24,Black,Ground Nuts,10,11,4,DAP (18:46:0),6.1
29.24,55.4,60.58,Clayey,Tobacco,12,17,13,Iffco NPK 17:17:17,5.78
23.82,60.22,33.62,Black,Cotton,9,12,10,Iffco NPK 17:17:17,6.18
15.9,79.48,59.56,Black,Barley,14,20,9,DAP (18:46:0),6.83
29.17,44.76,26.19,Black,Cotton,5,18,10,MAP 28:28:0,6.83
28.05,49.85,23.82,Black,Cotton,3,16,22,Urea (46% N),5.9
18.26,47.19,39.7,Red,Paddy,32,7,6,Tata Paras NPK 10:26:26,6.25
37.66,41.39,21.66,Clayey,Cotton,11,9,10,NPK Complex 14:35:14,5.65
17.12,81.81,66.65,Red,Barley,3,22,25,Urea (46% N),5.95
24.08,67.93,38.7,Red,Wheat,38,8,6,Tata Paras NPK 10:26:26,5.78
25.73,50.0,41.03,Loamy,Barley,11,11,15,Iffco NPK 17:17:17,5.86
23.97,58.65,42.31,Red,Sugarcane,15,10,13,Iffco NPK 17:17:17,6.09
38.81,55.69,44.31,Red,Millets,2,15,21,Urea (46% N),6.98
25.99,79.74,34.66,Sandy,Ground Nuts,5,2,30,Kribhco NPK 20:20:0,6.82
37.58,51.47,59.32,Loamy,Sugarcane,14,20,10,DAP (18:46:0),6.65
31.91,54.19,67.89,Clayey,Maize,28,3,4,Tata Paras NPK 10:26:26,6.98
24.62,41.44,41.47,Black,Millets,20,2,8,Tata Paras NPK 10:26:26,6.38
26.8,80.89,57.28,Loamy,Tobacco,8,23,23,Urea (46% N),6.18
29.07,55.53,66.66,Clayey,Ground Nuts,10,6,15,Iffco NPK 17:17:17,6.59
37.4,61.68,68.11,Clayey,Tobacco,21,22,1,DAP (18:46:0),6.8
15.13,55.4,53.47,Clayey,Ground Nuts,10,13,3,DAP (18:46:0),6.08
33.59,70.95,48.0,Red,Sugarcane,16,19,7,DAP (18:46:0),6.71
25.64,77.37,64.61,Loamy,Maize,14,12,17,Iffco NPK 17:17:17,7.08
33.67,67.1,63.99,Loamy,Cotton,16,4,3,Tata Paras NPK 10:26:26,6.9
37.4,50.96,54.28,Red,Tobacco,16,13,25,Kribhco NPK 20:20:0,7.22
38.82,70.5,32.76,Clayey,Ground Nuts,3,15,28,Urea (46% N),6.75
28.49,48.13,67.52,Red,Sugarcane,15,13,12,Iffco NPK 17:17:17,6.51
20.31,40.57,20.73,Sandy,Sugarcane,14,8,20,Iffco NPK 17:17:17,6.29
25.78,77.83,65.79,Black,Sugarcane,19,21,6,DAP (18:46:0),6.6
20.04,67.55,22.94,Clayey,Wheat,12,15,19,Urea (46% N),6.98
30.7,68.31,66.84,Red,Barley,9,22,15,MAP 28:28:0,7.06
35.99,64.74,25.55,Sandy,Millets,12,11,8,DAP (18:46:0),7.4
34.47,46.73,46.8,Clayey,Cotton,8,19,20,Urea (46% N),6.53
16.5,66.09,32.11,Clayey,Millets,19,7,1,Tata Paras NPK 10:26:26,6.76
17.87,40.49,20.68,Red,Barley,14,20,6,MAP 28:28:0,6.43
21.19,45.55,31.48,Red,Pulses,5,8,3,DAP (18:46:0),5.73
23.93,50.32,23.76,Sandy,Ground Nuts,11,12,3,DAP (18:46:0),7.04
20.81,41.46,37.32,Clayey,Paddy,23,7,10,NPK Complex 14:35:14,6.71
38.75,64.16,25.41,Red,Wheat,9,17,14,Urea (46% N),6.88
36.68,63.93,54.07,Black,Sugarcane,23,4,13,Tata Paras NPK 10:26:26,6.58
29.36,85.43,45.31,Black,Cotton,8,6,5,NPK Complex 14:35:14,6.85
35.81,73.21,42.0,Clayey,Barley,25,8,10,Tata Paras NPK 10:26:26,6.77
27.12,54.84,33.0,Clayey,Tobacco,12,11,3,NPK Complex 14:35:14,5.95
37.97,40.46,29.42,Red,Pulses,2,8,22,Urea (46% N),5.56
23.5,65.31,58.98,Clayey,Tobacco,12,20,15,MAP 28:28:0,5.88
36.16,66.06,47.01,Black,Cotton,11,10,16,Kribhco NPK 20:20:0,5.72
29.74,69.89,44.31,Clayey,Tobacco,6,9,19,Kribhco NPK 20:20:0,7.46
21.69,46.96,20.07,Black,Barley,18,17,8,DAP (18:46:0),5.73
22.48,83.12,53.31,Red,Sugarcane,15,5,14,NPK Complex 14:35:14,6.59
37.79,89.03,30.08,Black,Cotton,10,12,7,Iffco NPK 17:17:17,7.34
38.03,72.99,45.19,Clayey,Pulses,11,2,10,Tata Paras NPK 10:26:26,6.07
19.17,77.36,21.04,Red,Sugarcane,12,13,19,Iffco NPK 17:17:17,6.05
31.07,49.49,25.32,Red,Paddy,10,20,21,Urea (46% N),7.43
15.86,57.23,22.51,Black,Oil seeds,15,2,4,Tata Paras NPK 10:26:26,7.48
28.34,50.22,24.39,Black,Maize,22,10,9,NPK Complex 14:35:14,6.97
31.57,41.12,57.11,Sandy,Cotton,13,9,8,NPK Complex 14:35:14,6.5
18.49,62.05,40.72,Sandy,Cotton,7,17,14,Urea (46% N),6.54
24.75,72.01,37.5,Black,Oil seeds,7,7,14,Iffco NPK 17:17:17,5.57
21.37,77.77,45.48,Red,Millets,6,13,18,Urea (46% N),5.57
25.82,53.18,44.45,Clayey,Cotton,15,5,4,Tata Paras NPK 10:26:26,6.95
18.15,80.93,66.98,Loamy,Wheat,13,19,15,Urea (46% N),5.85
20.68,46.98,63.53,Loamy,Barley,9,6,22,Kribhco NPK 20:20:0,6.56
34.99,40.35,27.38,Red,Tobacco,30,5,2,Tata Paras NPK 10:26:26,6.34
21.49,62.54,31.08,Loamy,Pulses,7,10,10,DAP (18:46:0),5.55
16.1,61.98,58.7,Loamy,Tobacco,10,20,25,Urea (46% N),6.8
26.65,65.23,23.73,Red,Pulses,9,3,2,Tata Paras NPK 10:26:26,7.31
28.32,53.06,54.32,Loamy,Maize,16,24,7,DAP (18:46:0),7.29
16.17,42.61,42.68,Sandy,Maize,22,25,7,DAP (18:46:0),6.88
36.39,66.92,27.67,Red,Barley,24,4,10,Tata Paras NPK 10:26:26,7.16
30.73,40.34,27.78,Loamy,Cotton,21,8,2,Tata Paras NPK 10:26:26,5.6
20.85,49.46,49.94,Red,Sugarcane,9,7,15,Iffco NPK 17:17:17,6.71
17.77,68.36,35.28,Black,Pulses,5,5,13,NPK Complex 14:35:14,6.58
20.67,46.51,66.22,Loamy,Cotton,13,8,6,Iffco NPK 17:17:17,5.75
26.61,82.49,30.34,Black,Millets,13,12,4,DAP (18:46:0),6.23
18.81,48.6,65.08,Red,Sugarcane,19,19,4,DAP (18:46:0),5.74
20.68,59.48,57.59,Clayey,Ground Nuts,11,14,12,DAP (18:46:0),5.81
16.1,60.06,36.2,Red,Ground Nuts,6,16,27,Urea (46% N),7.4
15.18,47.75,68.93,Black,Ground Nuts,10,5,6,NPK Complex 14:35:14,6.37
16.27,87.26,27.09,Sandy,Maize,22,25,10,DAP (18:46:0),6.45
37.01,50.04,35.18,Red,Sugarcane,16,5,4,NPK Complex 14:35:14,6.87
25.31,53.05,26.52,Loamy,Tobacco,10,26,14,MAP 28:28:0,6.93
27.0,85.26,45.54,Red,Oil seeds,6,15,24,Urea (46% N),6.21
30.21,87.24,32.93,Sandy,Tobacco,8,14,22,Kribhco NPK 20:20:0,5.64
37.81,47.55,65.67,Sandy,Tobacco,9,24,21,Urea (46% N),7.3
25.51,40.76,23.49,Clayey,Pulses,2,9,23,Urea (46% N),5.89
26.98,77.3,63.39,Clayey,Sugarcane,17,10,17,Iffco NPK 17:17:17,7.16
16.24,72.38,53.86,Clayey,Cotton,18,4,5,Tata Paras NPK 10:26:26,6.45
38.23,89.47,22.09,Clayey,Millets,9,9,13,Iffco NPK 17:17:17,6.37
29.26,86.36,25.06,Black,Pulses,10,3,7,Tata Paras NPK 10:26:26,6.83
32.73,60.39,26.98,Loamy,Wheat,17,17,22,Urea (46% N),6.17
37.99,82.88,51.24,Loamy,Barley,12,10,12,NPK Complex 14:35:14,6.62
27.66,77.28,27.93,Loamy,Millets,4,4,22,Kribhco NPK 20:20:0,6.37
